,ano,cnpjCpfFornecedor,codDocumento,codLote,codTipoDocumento,dataDocumento,mes,nomeFornecedor,numDocumento,numRessarcimento,parcela,tipoDespesa,tipoDocumento,urlDocumento,valorDocumento,valorGlosa,valorLiquido,id_dep
0,2008,43312172000103,1578435,393481,0,2008-11-03,11,LAVACRED,078191,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,,156.01,0.0,156.01,73441
1,2008,43080654000185,1578440,393481,0,2008-11-28,11,POSTO CACONDE,093488,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,,151.0,0.0,151.0,73441
2,2008,43080654000185,1578436,393482,0,2008-12-09,12,POSTO CACONDE,095040,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,,39.0,0.0,39.0,73441
3,2009,61695227000193,1747248,445243,0,2009-11-10,11,ELETROPAULO,003946485,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,,18.02,0.0,18.02,73441
4,2009,61695227000193,1613869,405785,0,2009-06-05,6,ELETROPAULO,004039031,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,,12.58,0.0,12.58,73441
5,2009,61695227000193,1658769,419010,0,2009-07-08,7,ELETROPAULO,559400864405,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,,10.64,0.0,10.64,73441
6,2009,61695227000193,1573098,391816,0,2009-04-06,4,ELETROPAULO,624000754465,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,,10.83,0.0,10.83,73441
7,2009,33530486000129,1648876,416094,0,2009-07-24,7,EMBRATEL,000160109,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,,14.13,0.0,14.13,73441
8,2009,33530486000129,1609904,404469,0,2009-05-24,5,EMBRATEL,000164601,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,,317.6,0.0,317.6,73441
9,2009,33530486000129,1585984,396167,0,2009-04-24,4,EMBRATEL,000164825,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,,246.51,0.0,246.51,73441
10,2009,33530486000129,1648873,416094,0,2009-07-24,7,EMBRATEL,000172535,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,,62.4,0.0,62.4,73441
11,2009,33530486000129,1585996,396167,0,2009-04-24,4,EMBRATEL,000177628,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,,28.17,0.0,28.17,73441
12,2009,33530486000129,1673658,423505,0,2009-08-24,8,EMBRATEL,000178700,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,,134.26,0.0,134.26,73441
13,2009,33530486000129,1609905,404469,0,2009-05-24,5,EMBRATEL,000180105,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,,31.68,0.0,31.68,73441
14,2009,33530486000129,1648871,416094,0,2009-07-24,7,EMBRATEL,000181200,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,,111.03,0.0,111.03,73441
